company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Paid Time Off_predicted,Ability Telecommute_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,Paid Time Off_review,Ability Telecommute_review,Mentorship_review,Maternity Leave_review,Learning Opportunities_review,Management Opportunities_review,Salary Satisfaction_review
Indeed,3.6,4.6,3,3.6,4.2,3.7,4.1,2.7,4.5,4.1,2.9,3.4,3.2,3.4,3.3,2.4,58,3.6,3.045977011,3.24137931,3.482758621,3.75862069,4.1423,3.0034,2.5844,4.133,3.1423,3.1733,3.0377,3.6,3.6,https://www.indeed.com/cmp/Indeed,/static/img/indeed.jpg,,,,,,,
Informatica,2.9,4,3.6,3.2,3.4,2.8,3,2.8,3.4,3.2,2.5,2.2,2.6,3,3.2,2.2,6,3.9,3.55,3.7,4.033333333,4,4.0359,3.4478,2.6207,3.3906,2.3629,2.732,2.9946,2.9,3.9,https://informatica.gr8people.com/index.gp?method=cappPortal.showAuthPortalLandingPage,/static/img/informatica.png,,,,,,,
Instacart,2.6,2,2.4,4.1,2.1,3,1.7,1.8,2.5,2.2,2.6,2,3.2,3.8,2.4,3.1,44,3.6,3.5,3.25,4.142857143,3.75,2.8263,2.6968,2.0573,2.8818,2.4272,3.0767,2.5621,2.6,3.6,https://www.instacartcareers.com/,/static/img/instacart.jpg,,,,,,,
Intel,3.5,4.2,3.3,3.6,3.3,3.5,4,3.3,4.2,4,3.4,3.5,3.3,3.5,3.3,3,117,3.9,4.5,4.5,4.5,4.375,4.1297,3.2702,3.2074,4.2311,3.5008,3.3759,3.3202,3.5,3.9,https://jobs.intel.com/ListJobs/All,/static/img/intel.png,,,,,,,
Invenio Solutions,,,,,,,,,,,,,,,,,0,2.7,1.875,2.125,2.125,3.25,3.491,2.9893,1.8755,2.6046,2.1629,2.5142,2.1536,Not Rated,2.7,https://www.invenio-solutions.com/careers,/static/img/invenio_solutions.jpg,,,,,,,
Khoros,,,,,,,,,,,,,,,,,0,3.9,3.46,3.66,3.48,3.8,4.2254,3.1451,2.171,3.6142,2.528,2.8452,2.1519,Not Rated,3.9,https://khoros.com/about/careers,/static/img/khoros.png,,,,,,,
Lawnstarter,2,3.2,4,1.8,3.2,3,1,1,2.5,1,2,2.2,2,1.5,1.8,1.2,,4,3.461538462,3.461538462,3.461538462,3.461538462,3.5028,3.7298,1.5725,2.9445,2.4428,2.3699,2.1134,2,4,https://lawnstarter.workable.com/,/static/img/lawnstarter.png,,,,,,,
Luminex,2.8,4,1.2,2.2,2.8,3.5,3,3,3.5,3.5,2,3.5,2.2,3,2.8,1.8,,3.6,3.37,3.89,3.11,3.19,4.027,1.7244,2.9052,3.6359,3.4687,2.5322,2.8548,2.8,3.6,https://www.luminexcorp.com/open-positions/,/static/img/luminex.png,,,,,,,
Main Street Hub,2.9,3.5,1.7,2.2,3.9,3.8,2.1,2.3,3.5,2.9,2.7,2.7,3.8,4.1,1.9,2.8,19,3.4,3.113636364,3.545454545,4.431818182,3.25,3.7189,1.983,2.2315,3.3409,2.6307,3.1246,2.0248,2.9,3.4,https://www.mainstreethub.com/our-company/,/static/img/mainstreethub.png,,,,,,,
Mood Media,3.4,4.2,3.8,3.7,3.3,3.9,2.8,2.7,3.2,2.5,4.2,3.3,4,4,2.6,3.2,10,2.6,2.333333333,2.777777778,2.666666667,3.777777778,3.7415,3.5092,2.3599,2.9627,3.0332,3.4437,2.5351,3.4,2.6,https://us.moodmedia.com/company/careers/,/static/img/moodmedia.jpg,,,,,,,
