company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Mentorship_predicted,Paid Time Off_predicted,Flexible Hours_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Salary Satisfaction_predicted,Management Opportunities_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image
Khoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.9,3.46,3.66,3.48,3.8,2.7814,4.4084,3.7126,4.2403,3.1233,2.8601,3.5567,Not Rated,3.9,https://khoros.com/about/careers,/static/img/khoros.png
Lawnstarter,2,3.2,4,1.8,3.2,3,1,1,2.5,1,2,2.2,2,1.5,1.8,1.2,,4,3.461538462,3.461538462,3.461538462,3.461538462,1.571,3.5984,2.5761,2.8274,2.529,2.2883,2.4114,2,4,https://lawnstarter.workable.com/,/static/img/lawnstarter.png
Luminex,2.8,4,1.2,2.2,2.8,3.5,3,3,3.5,3.5,2,3.5,2.2,3,2.8,1.8,,3.6,3.37,3.89,3.11,3.19,2.7031,3.9802,2.5475,3.533,3.1769,2.7799,2.635,2.8,3.6,https://www.luminexcorp.com/open-positions/,/static/img/luminex.png
Main Street Hub,2.9,3.5,1.7,2.2,3.9,3.8,2.1,2.3,3.5,2.9,2.7,2.7,3.8,4.1,1.9,2.8,19,3.4,3.113636364,3.545454545,4.431818182,3.25,2.3002,3.7738,2.5363,3.4349,2.7452,2.1712,3.1786,2.9,3.4,https://www.mainstreethub.com/our-company/,/static/img/mainstreethub.png
Mood Media,3.4,4.2,3.8,3.7,3.3,3.9,2.8,2.7,3.2,2.5,4.2,3.3,4,4,2.6,3.2,10,2.6,2.333333333,2.777777778,2.666666667,3.777777778,2.415,3.9828,3.2952,2.9631,3.0162,2.3815,3.4972,3.4,2.6,https://us.moodmedia.com/company/careers/,/static/img/moodmedia.jpg
National Instruments,3.2,4.2,3.1,4.3,3.5,3.5,3.5,2.3,2.9,2.9,3.2,2.8,2.9,3.4,2.6,2.3,16,3.5,3.294736842,3.357894737,3.936842105,4.094736842,2.2466,4.0668,3.7278,3.0393,2.8037,2.6926,2.8301,3.2,3.5,https://www.ni.com/careers/,/static/img/nationalinstruments.gif
Netsync Network Solutions,2.1,3.3,2.7,3.7,2.3,2,1,1,1.7,1,3,3,2,2.3,2,1,,3.7,4.428571429,4,4.714285714,4.357142857,1.5759,3.3139,3.6617,2.4856,3.1979,2.489,2.6247,2.1,3.7,https://www.netsyncnetwork.com/careers/,/static/img/netsync.jpg
Oracle,3,3.7,3.4,3.4,2.5,3.4,2.9,2.6,3.2,3,2.5,3,3.2,3.2,2.6,3,203,3.4,3.577777778,3.433333333,3.877777778,3.955555556,2.8135,3.8384,3.4789,3.5279,3.1287,2.8566,3.3073,3,3.4,https://www.oracle.com/corporate/careers/,/static/img/oracle.png
PayPal,3.7,4.2,2.8,3.3,3.7,3.8,4.1,3.3,4.4,4,3.6,3.5,3.9,4,3.5,3.9,93,3.8,4.111111111,4.222222222,4.666666667,3.666666667,3.1841,4.1302,3.3723,4.1996,3.4216,3.3625,3.7197,3.7,3.8,https://www.paypal.com/us/webapps/mpp/jobs,/static/img/paypal.jpg
Pivot3,2.6,4,4.3,4.3,2.3,3.3,1.7,1,3.7,2.3,2.3,1.7,1.7,2.3,3,1.3,,4,4.114754098,3.950819672,4.114754098,4.278688525,1.6086,3.9063,3.8363,3.7051,2.1927,3.0563,2.2689,2.6,4,https://pivot3.com/careers/,/static/img/Pivot3.png
